feature,n,auroc,where_delta,where_gt,where_lt,steer,clamp,ef32,routed,b2,class
futurates,8,1.0,0.25,1,0,1.0,0.75,0.875,0.875,0.75,A 介入で編集可能
future_perfect,12,1.0,2.0,2,0,0.9167,0.16666666666666666,0.5833,0.5833,0.0,A 介入で編集可能
non_synecdoche_metonymy,7,0.7967,-0.16666666666666666,5,3,0.8571,0.25,0.8571,0.8571,0.5,A 介入で編集可能
interrogative,10,1.0,4.125,7,0,0.7,0.2857142857142857,0.0,0.5,0.0,A 介入で編集可能
of_genitive,12,1.0,2.75,4,0,0.6667,0.2857142857142857,0.1667,0.25,0.2857142857142857,A 介入で編集可能
cleft_sentences,14,0.9621,4.142857142857143,7,0,0.6429,0.125,0.0714,0.4286,0.625,A 介入で編集可能
future,11,0.9348,2.75,4,0,0.6364,0.375,0.2727,0.2727,0.375,A 介入で編集可能
present_progressive,11,1.0,1.2222222222222223,7,0,0.6364,0.25,0.2727,0.3636,0.5,A 介入で編集可能
clausal_subjects,8,1.0,3.0,3,0,0.625,0.0,0.0,0.375,0.3333333333333333,A 介入で編集可能
passive_voice,12,1.0,2.75,4,0,0.5833,0.0,0.0,0.5833,0.0,A 介入で編集可能
past_perfect,14,1.0,1.0,3,0,0.5714,0.16666666666666666,0.3571,0.5714,0.0,A 介入で編集可能
transitional,14,0.9854,5.285714285714286,7,0,0.5714,0.0,0.0,0.3571,0.1,A 介入で編集可能
present_perfect,9,1.0,0.3333333333333333,1,0,0.5556,0.8,0.4444,0.4444,0.0,A 介入で編集可能
past_progressive,9,1.0,1.5,7,0,0.5556,0.6666666666666666,0.2222,0.2222,0.0,A 介入で編集可能
past,10,1.0,1.25,8,0,0.5,0.3333333333333333,0.6,0.6,0.0,A 介入で編集可能
transitive_verb,6,0.8128,3.4,4,0,0.5,1.0,0.5,0.5,0.5,A 介入で編集可能
temporal,6,0.9575,2.888888888888889,8,0,0.5,0.0,0.3333,0.3333,0.5,A 介入で編集可能
expletive,10,0.9659,2.8333333333333335,4,0,0.5,0.0,0.2,0.2,0.0,A 介入で編集可能
present_participle,10,1.0,0.8333333333333334,3,0,0.5,0.6,0.2,0.2,0.2,A 介入で編集可能
optative,10,1.0,4.666666666666667,3,0,0.5,0.0,0.1,0.4,0.0,A 介入で編集可能
politeness,10,1.0,5.833333333333333,6,0,0.5,0.0,0.1,0.3,0.0,A 介入で編集可能
subject_auxiliary_inversion,8,0.9393,2.6666666666666665,3,0,0.5,0.25,0.0,0.25,0.5,A 介入で編集可能
deontic,11,0.9623,1.6666666666666667,4,0,0.4545,0.375,0.7273,0.8182,0.0,A 介入で編集可能
tag_questions,7,1.0,6.25,4,0,0.4286,0.0,0.0,0.2857,0.0,A 介入で編集可能
epistemic,12,0.9831,10.5,2,0,0.4167,0.7142857142857143,0.4167,0.4167,0.2857142857142857,A 介入で編集可能
referring,12,1.0,2.857142857142857,6,0,0.4167,0.0,0.4167,0.4167,0.14285714285714285,A 介入で編集可能
future_progressive,15,1.0,2.5,4,0,0.4,0.5555555555555556,0.2,0.4,0.1111111111111111,A 介入で編集可能
split_infinitives,13,0.9855,0.0,0,0,0.3846,0.0,0.0769,0.3077,0.09090909090909091,A 介入で編集可能
subjunctive_mood,8,0.7647,2.4,4,1,0.375,0.3333333333333333,0.25,0.375,0.0,A 介入で編集可能
euphemism,8,0.8998,4.5,6,0,0.375,0.0,0.0,0.0,0.0,A 介入で編集可能
static_dynamic,11,0.7632,1.5,1,0,0.3636,0.125,0.1818,0.2727,0.125,A 介入で編集可能
emphatic_structure,18,1.0,1.0,3,1,0.3333,0.6,0.8333,0.8333,0.6,A 介入で編集可能
existential,9,1.0,3.4,4,0,0.3333,0.3333333333333333,0.0,0.2222,0.6666666666666666,A 介入で編集可能
spatial_or_directional_prefix,13,0.9126,2.6,5,0,0.3077,0.0,0.0769,0.0769,0.0,A 介入で編集可能
expressive,10,1.0,3.3,10,0,0.3,0.375,0.3,0.5,0.625,A 介入で編集可能
middle_verb,10,0.9607,2.111111111111111,7,1,0.3,0.0,0.0,0.1,0.0,A 介入で編集可能
synecdoche,14,0.781,0.8,4,1,0.2857,0.0,0.2143,0.2143,0.2,A 介入で編集可能
s_genitive,4,1.0,5.0,1,0,0.25,1.0,0.5,0.75,0.0,A 介入で編集可能
commisive,15,0.9762,3.2,10,0,0.2,0.0,0.0667,0.2,0.0,A 介入で編集可能
subject_verb_inversion,10,0.9405,1.75,3,0,0.2,0.0,0.0,0.2,0.0,A 介入で編集可能
deixis,11,1.0,1.75,3,0,0.1818,0.125,0.2727,0.2727,0.0,A 介入で編集可能
quantifier,11,0.9062,1.0,4,1,0.1818,0.0,0.1818,0.1818,0.0,A 介入で編集可能
telic_atelic,12,0.7891,1.5,7,0,0.1667,0.16666666666666666,0.0833,0.0833,0.0,A 介入で編集可能
relative_clauses,12,0.9991,4.0,3,0,0.1667,0.25,0.0,0.0833,0.25,A 介入で編集可能
representative,6,1.0,2.6666666666666665,3,0,0.1667,0.0,0.0,0.0,0.5,A 介入で編集可能
degree_prefix,13,0.8419,2.1666666666666665,5,0,0.1538,0.4,0.3077,0.3077,0.5,A 介入で編集可能
turn_taking,14,0.9675,9.5,6,0,0.1429,0.375,0.2143,0.2143,0.125,A 介入で編集可能
imperative_sentence,7,0.9948,3.0,2,0,0.1429,0.25,0.1429,0.1429,0.0,A 介入で編集可能
anaphor,8,0.9894,4.0,2,0,0.125,0.3333333333333333,0.875,0.875,0.6666666666666666,A 介入で編集可能
negation_prefix,8,0.9658,1.0,1,0,0.125,0.25,0.5,0.5,0.0,A 介入で編集可能
copular_be,8,0.9881,1.75,5,0,0.125,0.3333333333333333,0.25,0.25,0.0,A 介入で編集可能
discourse_markers,8,1.0,2.25,4,0,0.125,0.75,0.125,0.125,0.25,A 介入で編集可能
superlative,9,1.0,2.0,3,0,0.1111,0.0,0.6667,0.6667,0.0,A 介入で編集可能
agentive_suffix,9,0.9367,1.1666666666666667,4,0,0.1111,0.0,0.1111,0.1111,0.0,A 介入で編集可能
noun_clauses,9,0.8634,4.5,4,0,0.1111,0.0,0.1111,0.1111,0.0,A 介入で編集可能
hyperbole,9,0.9546,5.4,4,0,0.1111,0.0,0.0,0.0,0.0,A 介入で編集可能
declaration,10,0.881,2.142857142857143,6,0,0.1,0.0,0.3,0.3,0.0,A 介入で編集可能
object_expletives,10,1.0,6.6,5,0,0.1,0.0,0.0,0.0,0.25,A 介入で編集可能
existential_quantifiers,11,1.0,-1.0,1,2,0.0909,0.0,0.5455,0.5455,0.0,A 介入で編集可能
past_tense_irregular,12,0.9871,1.3333333333333333,5,0,0.0833,0.3333333333333333,0.4167,0.4167,0.0,A 介入で編集可能
punctual_durative,12,0.8453,0.2222222222222222,3,3,0.0833,0.2857142857142857,0.25,0.25,0.0,A 介入で編集可能
directive,13,0.9786,3.857142857142857,7,0,0.0769,0.0,0.2308,0.2308,0.0,A 介入で編集可能
mass_noun,13,0.8489,3.8,5,0,0.0769,0.16666666666666666,0.1538,0.2308,0.0,A 介入で編集可能
past_tense,10,1.0,1.8,5,0,0.0,0.3333333333333333,0.7,0.7,0.0,A 介入で編集可能
adjectival_suffix,18,0.8422,1.6666666666666667,3,0,0.0,0.09090909090909091,0.5,0.5,0.0,A 介入で編集可能
third_person_singular,14,1.0,1.5,6,0,0.0,0.125,0.4286,0.4286,0.0,A 介入で編集可能
intensifiers,7,0.9651,1.0,2,3,0.0,0.3333333333333333,0.2857,0.2857,0.3333333333333333,A 介入で編集可能
spatial,5,0.7657,7.0,2,0,0.0,0.5,0.2,0.2,0.0,A 介入で編集可能
factives,8,0.9935,6.285714285714286,7,0,0.0,0.25,0.0,0.0,0.0,A 介入で編集可能
linking_verb,6,0.9697,0.0,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,A 介入で編集可能
personification,11,0.9074,1.3333333333333333,2,0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,A 介入で編集可能
coordination,5,1.0,1.0,4,1,0.0,0.0,0.8,0.8,0.0,C 効果器側(WHERE有・実行不可=WHAT問題)
noun_plural,11,0.9813,1.0,1,0,0.0,0.0,0.7273,0.7273,0.0,C 効果器側(WHERE有・実行不可=WHAT問題)
possessive_form,7,0.948,1.75,4,0,0.0,0.0,0.7143,0.7143,0.0,C 効果器側(WHERE有・実行不可=WHAT問題)
past_participle,7,0.9563,2.0,5,0,0.0,0.0,0.2857,0.2857,0.0,C 効果器側(WHERE有・実行不可=WHAT問題)
nominal_suffix,12,0.6915,1.7142857142857142,5,0,0.0,0.0,0.25,0.25,0.0,C 効果器側(WHERE有・実行不可=WHAT問題)
verbal_suffix,8,0.9454,2.0,6,0,0.0,0.0,0.125,0.125,0.0,C 効果器側(WHERE有・実行不可=WHAT問題)
adverbial_suffix,11,1.0,1.0,3,1,0.0,0.0,0.0909,0.0909,0.0,C 効果器側(WHERE有・実行不可=WHAT問題)
extraposition,12,1.0,2.2,5,0,0.0,0.0,0.0,0.0,0.14285714285714285,C 効果器側(WHERE有・実行不可=WHAT問題)
given_known,5,0.888,0.0,0,0,0.0,0.0,0.6,0.6,1.0,B SAE側の示唆(因果WHERE無し)
comparative,10,0.8748,-1.3333333333333333,1,2,0.0,0.0,0.4,0.4,0.0,B SAE側の示唆(因果WHERE無し)
nominal_adverbials,11,0.7925,-1.5,0,2,0.0,0.0,0.0909,0.0909,0.3333333333333333,B SAE側の示唆(因果WHERE無し)
active_verbs,17,0.9941,2.5,4,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
appositives,11,0.8932,-5.0,0,2,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
count_nouns,8,0.9659,4.166666666666667,6,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
direct_object,8,0.9978,2.5,2,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
echo_questions,12,1.0,9.0,2,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
elliptical_sentences,14,0.7123,-4.0,0,3,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
first_conditional,10,1.0,5.0,7,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
indirect_speech,9,1.0,6.285714285714286,7,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
intransitive_verb,9,0.8419,1.2,8,1,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
metaphor,10,0.924,3.2,5,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
non_defining_relative_clauses,5,1.0,4.5,2,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
past_participle_irregular,12,0.8849,2.0,4,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
quantitative_prefix,9,0.7784,4.333333333333333,6,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
resultative,10,0.9,-1.8,1,3,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
temporal_prefix,7,0.8064,2.5,2,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
universal_quantifiers,12,0.9998,2.0,3,0,0.0,0.0,0.0,0.0,0.0,D LM/タスク側
